Target,date_sold,num_bath,num_bed,num_parking,property_size,type,suburb_lat,suburb_lng,km_from_cbd
860000,29/4/16,2,4,2,0.44715447154471544,House,-33.86202,150.88392,0.36560587515299875
1580000,30/4/16,2,3,1,0.16016260162601625,House,-33.89452,151.1556,0.06964504283965728
1510000,30/4/16,1,4,0,0.11138211382113822,House,-33.89452,151.1556,0.06964504283965728
988000,30/4/16,1,2,2,0.4349593495934959,House,-34.00258,151.0648,0.24492044063647486
985000,30/4/16,3,4,2,0.45528455284552843,House,-33.86202,150.88392,0.36560587515299875
735500,30/4/16,2,4,1,0.44308943089430897,House,-33.86202,150.88392,0.36560587515299875
7500000,13/5/16,4,6,4,0.45934959349593496,House,-33.85093,151.18309,0.032313341493268054
1275000,13/5/16,4,5,4,0.8617886178861789,House,-33.46838,151.36601,0.5634026927784578
1140000,13/5/16,3,5,2,0.5365853658536586,House,-33.67757,150.91278,0.4186046511627907
746000,13/5/16,2,5,2,0.4715447154471545,House,-34.05177,150.74372,0.5813953488372093
570000,13/5/16,1,3,2,0.4821138211382114,House,-33.7734,150.69863,0.5888616891064872
522000,13/5/16,1,3,3,0.5780487804878048,House,-33.49914,151.39045,0.533782129742962
500000,13/5/16,2,3,2,0.656910569105691,House,-33.27889,151.43056,0.8308445532435741
397000,13/5/16,1,3,1,0.23739837398373984,House,-33.23957,151.56058,0.9345165238678091
1675000,14/5/16,1,3,1,0.3065040650406504,House,-33.8077,151.26552,0.09657282741738066
1475000,14/5/16,1,2,2,0.6585365853658537,House,-33.76365,151.12999,0.16119951040391675
756000,14/5/16,2,3,2,0.432520325203252,House,-33.87884,150.87759,0.3730722154222766
597000,14/5/16,1,1,1,0.01707317073170732,Apartment,-33.89452,151.1556,0.06964504283965728
550000,15/5/16,2,3,2,0.5333333333333333,House,-34.08405,150.81805,0.5299877600979193
1045000,16/5/16,3,4,2,0.5073170731707317,House,-33.40857,151.46938,0.6826193390452876
1010000,16/5/16,1,2,1,0.03333333333333333,Apartment,-33.89314,151.26703,0.07135862913096695
851000,16/5/16,1,2,1,0.4788617886178862,House,-34.00258,151.0648,0.24492044063647486
1315000,17/5/16,4,5,4,0.4959349593495935,House,-33.97576,150.99327,0.2838433292533659
1070000,17/5/16,2,4,6,0.4886178861788618,House,-33.52349,151.34031,0.48323133414932684
790000,17/5/16,2,4,2,0.3333333333333333,House,-33.99074,150.74247,0.5521419828641371
630000,17/5/16,2,4,2,0.4788617886178862,House,-33.7734,150.69863,0.5888616891064872
500000,17/5/16,2,4,2,0.42520325203252035,House,-33.23957,151.56058,0.9345165238678091
2000000,18/5/16,2,6,4,0.6,House,-33.98937,151.10096,0.20526315789473684
1440000,18/5/16,1,3,4,0.491869918699187,House,-33.75,151.27239,0.1679314565483476
390000,18/5/16,1,2,1,0.03902439024390244,Apartment,-33.9234,151.06765,0.17576499388004896
820000,19/5/16,2,4,2,0.4065040650406504,House,-33.99074,150.74247,0.5521419828641371
1430000,20/5/16,1,2,1,0.04065040650406504,Apartment,-33.86505,151.25332,0.04553243574051407
1254000,20/5/16,1,3,2,0.4861788617886179,House,-34.00258,151.0648,0.24492044063647486
785000,20/5/16,3,4,2,0.4967479674796748,House,-33.40857,151.46938,0.6826193390452876
725000,20/5/16,1,4,3,0.4292682926829268,House,-33.87884,150.87759,0.3730722154222766
700000,20/5/16,2,4,2,0.45528455284552843,House,-33.76242,150.87007,0.405875152998776
510000,20/5/16,1,2,1,0.5536585365853659,House,-33.40857,151.46938,0.6826193390452876
1805000,21/5/16,3,5,2,0.3032520325203252,House,-33.94907,151.19881,0.111015911872705
1435000,21/5/16,2,3,1,0.4195121951219512,House,-33.75,151.27239,0.1679314565483476
545000,21/5/16,1,1,1,0.04796747967479675,Apartment,-33.70949,151.1061,0.23818849449204407
2300000,23/5/16,3,4,2,0.7479674796747967,House,-33.50518,151.33518,0.5052631578947369
675000,23/5/16,2,4,2,0.2926829268292683,House,-33.99074,150.74247,0.5521419828641371
570000,23/5/16,2,3,1,0.40487804878048783,House,-33.49914,151.39045,0.533782129742962
1450000,25/5/16,1,3,1,0.34796747967479674,House,-33.94907,151.19881,0.111015911872705
1250000,25/5/16,1,4,2,0.5170731707317073,House,-33.73636,151.07741,0.2268053855569155
1120000,25/5/16,1,3,2,0.9495934959349593,House,-33.93623,150.89729,0.36315789473684207
970000,25/5/16,2,4,2,0.34552845528455284,House,-33.70612,150.90622,0.4026927784577724
825000,25/5/16,2,4,2,0.4097560975609756,House,-33.99074,150.74247,0.5521419828641371
1900000,26/5/16,3,4,3,0.4268292682926829,House,-33.96482,151.08475,0.1922888616891065
1880080,26/5/16,2,4,2,0.5894308943089431,House,-33.78592,151.21481,0.10403916768665851
1605500,27/5/16,2,3,1,0.6471544715447154,House,-33.76741,151.18832,0.13121175030599752
1440000,27/5/16,3,4,2,0.4926829268292683,House,-33.30304,151.53201,0.842717258261934
1250000,27/5/16,2,5,2,0.44959349593495934,House,-33.70612,150.90622,0.4026927784577724
1200000,27/5/16,3,4,2,0.6829268292682927,House,-33.67757,150.91278,0.4186046511627907
820000,27/5/16,1,3,1,0.4967479674796748,House,-33.76791,150.8136,0.4643818849449205
773500,27/5/16,1,3,1,0.7902439024390244,House,-33.66886,150.85969,0.47454100367197066
700000,27/5/16,1,4,1,0.491869918699187,House,-34.0051,150.8581,0.43745410036719706
576000,27/5/16,1,4,1,0.491869918699187,House,-33.7734,150.69863,0.5888616891064872
1785000,28/5/16,1,3,1,0.5121951219512195,House,-33.8268,151.10602,0.12496940024479802
1650000,28/5/16,2,3,1,0.4195121951219512,House,-33.78849,151.08514,0.17184822521419826
1633000,28/5/16,3,4,2,0.6699186991869919,House,-33.75738,151.18183,0.1460220318237454
1620000,28/5/16,2,4,1,0.4658536585365854,House,-33.75,151.27239,0.1679314565483476
1265000,28/5/16,1,5,1,0.5073170731707317,House,-33.78849,151.08514,0.17184822521419826
1070000,28/5/16,3,6,1,0.583739837398374,House,-33.86713,150.94148,0.3003671970624235
2650000,30/5/16,2,3,4,0.32195121951219513,House,-33.92488,151.16476,0.09216646266829866
1855000,30/5/16,2,4,1,0.3276422764227642,House,-33.85841,151.14202,0.07380660954712362
1650000,30/5/16,2,5,0,0.06260162601626017,House,-33.8794,151.22078,0.019216646266829864
838500,30/5/16,2,3,1,0.21138211382113822,House,-33.67757,150.91278,0.4186046511627907
695000,30/5/16,2,5,1,0.4195121951219512,House,-34.0051,150.8581,0.43745410036719706
